1.89,0.2493,-3.008
1.9,0.24825,-2.991
1.91,0.24722,-2.9532
1.92,0.2462,-2.9584
1.93,0.24521,-2.9222
1.94,0.24424,-2.9509
1.95,0.24329,-2.9099
1.96,0.24237,-2.9074
1.97,0.24148,-2.8947
1.98,0.24062,-2.8969
1.99,0.23978,-2.8728
2,0.23898,-2.8639
