t,phi1,u1,phi2,u2
1.3,-0.0044158,0.018705,-0.21154,4.864
1.31,-0.0041098,0.017218,-0.20656,4.7498
1.32,-0.0038243,0.015849,-0.2017,4.6382
1.33,-0.0035582,0.014589,-0.19695,4.5292
1.34,-0.00331,0.01343,-0.19231,4.4228
1.35,-0.0030787,0.012363,-0.18778,4.3189
1.36,-0.0028631,0.011381,-0.18336,4.2174
1.37,-0.0026623,0.010478,-0.17904,4.1182
1.38,-0.0024752,0.0096458,-0.17482,4.0214
1.39,-0.002301,0.0088801,-0.1707,3.9269
1.4,-0.0021387,0.0081754,-0.16668,3.8345
1.41,-0.0019876,0.0075267,-0.16275,3.7443
1.42,-0.001847,0.0069296,-0.15892,3.6562
1.43,-0.0017161,0.00638,-0.15518,3.5702
1.44,-0.0015943,0.005874,-0.15152,3.4862
1.45,-0.001481,0.0054083,-0.14795,3.4042
1.46,-0.0013755,0.0049796,-0.14446,3.3241
1.47,-0.0012775,0.0045849,-0.14106,3.2458
1.48,-0.0011863,0.0042216,-0.13773,3.1694
1.49,-0.0011015,0.0038871,-0.13449,3.0948
1.5,-0.0010226,0.0035792,-0.13132,3.022
1.51,-0.00094931,0.0032957,-0.12822,2.9508
1.52,-0.00088118,0.0030347,-0.1252,2.8813
1.53,-0.00081786,0.0027945,-0.12225,2.8135
1.54,-0.00075901,0.0025733,-0.11937,2.7472
1.55,-0.00070434,0.0023696,-0.11655,2.6825
1.56,-0.00065354,0.0021821,-0.11381,2.6193
1.57,-0.00060636,0.0020094,-0.11112,2.5576
1.58,-0.00056253,0.0018505,-0.1085,2.4974
1.59,-0.00052183,0.0017041,-0.10595,2.4386
1.6,-0.00048403,0.0015694,-0.10345,2.3811
1.61,-0.00044893,0.0014453,-0.10101,2.325
1.62,-0.00041634,0.001331,-0.098629,2.2702
1.63,-0.00038609,0.0012258,-0.096303,2.2167
1.64,-0.00035801,0.0011289,-0.094033,2.1645
1.65,-0.00033195,0.0010397,-0.091816,2.1135
1.66,-0.00030776,0.0009576,-0.089651,2.0637
1.67,-0.00028532,0.00088196,-0.087538,2.0151
1.68,-0.00026449,0.0008123,-0.085474,1.9676
1.69,-0.00024516,0.00074816,-0.083458,1.9212
1.7,-0.00022724,0.00068909,-0.081491,1.8759
1.71,-0.00021061,0.00063469,-0.079569,1.8317
1.72,-0.00019518,0.00058459,-0.077693,1.7886
1.73,-0.00018087,0.00053846,-0.075861,1.7464
1.74,-0.0001676,0.00049597,-0.074073,1.7052
1.75,-0.00015529,0.00045684,-0.072326,1.665
1.76,-0.00014388,0.00042081,-0.070621,1.6258
1.77,-0.0001333,0.00038762,-0.068955,1.5875
1.78,-0.00012349,0.00035705,-0.067329,1.55
1.79,-0.0001144,0.0003289,-0.065742,1.5135
1.8,-0.00010597,0.00030297,-0.064192,1.4778
1.81,-9.8153e-05,0.00027909,-0.062678,1.443
1.82,-9.0909e-05,0.00025709,-0.0612,1.409
1.83,-8.4196e-05,0.00023683,-0.059757,1.3758
1.84,-7.7974e-05,0.00021817,-0.058348,1.3433
1.85,-7.2208e-05,0.00020098,-0.056972,1.3117
1.86,-6.6865e-05,0.00018515,-0.055628,1.2807
1.87,-6.1915e-05,0.00017057,-0.054317,1.2505
1.88,-5.7328e-05,0.00015714,-0.053036,1.2211
1.89,-5.3078e-05,0.00014477,-0.051785,1.1923
1.9,-4.9141e-05,0.00013337,-0.050564,1.1642
1.91,-4.5494e-05,0.00012287,-0.049372,1.1367
1.92,-4.2116e-05,0.0001132,-0.048207,1.1099
1.93,-3.8987e-05,0.00010429,-0.047071,1.0837
1.94,-3.6088e-05,9.6086e-05,-0.045961,1.0582
1.95,-3.3404e-05,8.8527e-05,-0.044877,1.0332
1.96,-3.0918e-05,8.1563e-05,-0.043818,1.0089
1.97,-2.8616e-05,7.5148e-05,-0.042785,0.98508
1.98,-2.6484e-05,6.9238e-05,-0.041776,0.96185
1.99,-2.451e-05,6.3793e-05,-0.040791,0.93917
2,-2.2682e-05,5.8778e-05,-0.039829,0.91703
