t,phi,delta,deltasim
1.71,-2.9125,-8.7143,-8.6521
1.72,-3.2945,-11.5,-11.036
1.73,-3.6765,-14.714,-13.948
1.74,-4.0107,-18.286,-17.347
1.75,-4.2972,-22.214,-21.161
1.76,-4.5837,-26.429,-25.294
1.77,-4.8224,-30.786,-29.632
1.78,-4.9656,-35.143,-34.051
1.79,-5.0611,-39.357,-38.424
1.8,-5.0611,-43.357,-42.62
1.81,-5.0134,-47,-46.514
1.82,-4.9179,-50.214,-49.987
1.83,-4.7746,-52.857,-52.94
1.84,-4.5837,-54.857,-55.287
1.85,-4.3449,-56.143,-56.966
1.86,-4.0107,-56.714,-57.931
1.87,-3.6287,-56.5,-58.153
1.88,-3.1513,-55.5,-57.614
1.89,-2.5783,-53.857,-56.303
1.9,-1.9576,-51.429,-54.215
1.91,-1.2892,-48.429,-51.358
1.92,-0.66844,-44.929,-47.754
1.93,-0.095483,-41,-43.45
1.94,0.47747,-36.786,-38.522
1.95,0.95493,-32.214,-33.072
1.96,1.3369,-27.286,-27.231
1.97,1.6234,-22.286,-21.152
1.98,1.7666,-17.357,-15.009
1.99,1.8144,-12.714,-8.9879
2,1.7666,-8.4286,-3.2832
2.01,1.5756,-4.5714,1.9139
2.02,1.2892,-1.2857,6.4216
2.03,0.95493,1.5714,10.082
2.04,0.62071,3.7143,12.777
2.05,0.28648,5.3571,14.442
2.06,3.3333e-06,6.3571,15.074
2.07,-0.23873,6.7857,14.731
2.08,-0.38197,6.7857,13.529
2.09,-0.47746,6.3571,11.631
2.1,-0.47746,5.5714,9.2348
2.11,-0.38197,4.5714,6.5629
2.12,-0.28648,3.5714,3.8457
2.13,-0.095488,2.7143,1.3079
2.14,0.19099,2.0714,-0.84528
2.15,0.47746,1.7143,-2.4391
2.16,0.81169,1.8571,-3.3414
2.17,1.1459,2.4286,-3.4726
2.18,1.4324,3.4286,-2.8097
2.19,1.7189,4.8571,-1.3852
2.2,1.9576,6.7857,0.72044
2.21,2.1963,9.0714,3.3876
2.22,2.3396,11.643,6.4699
2.23,2.4828,14.286,9.8074
2.24,2.5783,16.857,13.24
2.25,2.626,19.357,16.618
2.26,2.626,21.714,19.81
2.27,2.6738,23.929,22.708
2.28,2.6738,26,25.234
2.29,2.6738,27.857,27.343
2.3,2.6738,29.429,29.021
2.31,2.6738,30.714,30.283
2.32,2.6738,31.786,31.17
2.33,2.6738,32.571,31.743
2.34,2.7693,33.071,32.076
2.35,2.817,33.429,32.25
2.36,2.9125,33.714,32.345
2.37,3.008,34,32.433
2.38,3.1035,34.429,32.574
2.39,3.1512,34.929,32.816
2.4,3.199,35.5,33.186
2.41,3.2467,36.214,33.696
2.42,3.2945,37,34.343
2.43,3.3422,37.786,35.109
2.44,3.39,38.5,35.962
2.45,3.39,39.143,36.86
2.46,3.3422,39.786,37.752
2.47,3.2467,40.357,38.581
2.48,3.1512,40.857,39.291
2.49,3.008,41.214,39.829
2.5,2.8648,41.429,40.143
2.51,2.6738,41.429,40.186
2.52,2.4351,41.143,39.919
2.53,2.1963,40.571,39.311
2.54,1.9099,39.786,38.341
2.55,1.5756,38.571,36.995
2.56,1.2414,37.143,35.27
2.57,0.95493,35.429,33.175
2.58,0.6207,33.429,30.732
2.59,0.33423,31.286,27.976
2.6,0.047753,28.786,24.952
2.61,-0.23873,26.071,21.713
2.62,-0.52521,23.143,18.317
2.63,-0.76395,20.071,14.825
2.64,-0.95494,16.857,11.302
2.65,-1.1459,13.5,7.8086
2.66,-1.2892,10.143,4.405
2.67,-1.3847,6.7857,1.144
2.68,-1.4802,3.4286,-1.9277
2.69,-1.5757,0.28571,-4.7717
2.7,-1.6234,-2.8571,-7.3609
2.71,-1.6711,-5.7857,-9.6808
2.72,-1.7666,-8.5714,-11.731
2.73,-1.8144,-11.214,-13.522
2.74,-1.8621,-13.571,-15.081
2.75,-1.9576,-15.786,-16.441
2.76,-2.0531,-17.857,-17.647
2.77,-2.1963,-19.857,-18.748
2.78,-2.3396,-21.786,-19.802
2.79,-2.5306,-23.571,-20.864
2.8,-2.7215,-25.429,-21.991
2.81,-2.9603,-27.286,-23.236
2.82,-3.2468,-29.143,-24.644
2.83,-3.5332,-31.357,-26.255
2.84,-3.772,-33.643,-28.095
2.85,-4.0584,-36.071,-30.178
2.86,-4.3449,-38.571,-32.503
2.87,-4.5837,-41.214,-35.054
2.88,-4.8224,-43.929,-37.799
2.89,-5.0134,-46.714,-40.695
2.9,-5.2044,-49.429,-43.683
2.91,-5.2999,-52.071,-46.697
2.92,-5.3954,-54.571,-49.663
2.93,-5.3954,-56.857,-52.5
2.94,-5.2999,-58.786,-55.124
2.95,-5.1566,-60.357,-57.448
2.96,-4.9656,-61.5,-59.385
2.97,-4.6314,-61.857,-60.844
2.98,-4.2017,-61.714,-61.737
2.99,-3.6765,-60.5,-61.972
3,-3.008,-58.714,-61.453
3.01,-2.2441,-56.286,-60.08
