t;v;delta;phi;u
 7.556; 131    ; 131    ; -18    ; 12028  
 7.566; 133    ; 119    ; -17    ; 11727  
 7.578; 133    ; 106    ; -17    ; 11476  
 7.587; 133    ; 98     ; -16    ; 10829  
 7.597; 133    ; 95     ; -15    ; 10143  
 7.606; 133    ; 93     ; -14    ; 9336   
 7.616; 133    ; 91     ; -13    ; 8387   
 7.629; 133    ; 87     ; -12    ; 7325   
 7.639; 133    ; 82     ; -10    ; 6439   
 7.648; 133    ; 75     ; -9     ; 5676   
 7.661; 133    ; 64     ; -8     ; 4737   
 7.670; 131    ; 54     ; -7     ; 3984   
 7.681; 131    ; 41     ; -6     ; 3319   
 7.693; 131    ; 30     ; -5     ; 2726   
 7.701; 131    ; 21     ; -4     ; 2411   
 7.712; 131    ; 13     ; -4     ; 2110   
 7.724; 131    ; 7      ; -3     ; 1633   
 7.734; 131    ; 6      ; -3     ; 1644   
 7.744; 131    ; 6      ; -2     ; 1641   
 7.753; 131    ; 9      ; -3     ; 2087   
 7.764; 130    ; 12     ; -3     ; 2468   
 7.774; 130    ; 17     ; -4     ; 2945   
 7.784; 130    ; 23     ; -5     ; 3518   
 7.794; 130    ; 31     ; -5     ; 4121   
 7.804; 130    ; 36     ; -6     ; 4675   
 7.815; 130    ; 44     ; -7     ; 5250   
 7.824; 130    ; 51     ; -8     ; 5749   
 7.834; 130    ; 58     ; -8     ; 6146   
 7.844; 130    ; 64     ; -9     ; 6581   
 7.855; 130    ; 70     ; -10    ; 6961   
 7.868; 138    ; 75     ; -10    ; 7392   
 7.874; 138    ; 78     ; -11    ; 7549   
 7.882; 138    ; 78     ; -11    ; 7606   
 7.893; 138    ; 78     ; -11    ; 7501   
 7.907; 138    ; 76     ; -11    ; 7206   
 7.913; 138    ; 74     ; -10    ; 6875   
 7.926; 138    ; 69     ; -10    ; 6558   
 7.935; 138    ; 65     ; -9     ; 6205   
 7.945; 138    ; 61     ; -9     ; 5795   
 7.954; 138    ; 56     ; -8     ; 5556   
 7.964; 138    ; 52     ; -8     ; 5323   
 7.974; 136    ; 48     ; -8     ; 5060   
 7.984; 136    ; 45     ; -7     ; 4885   
 7.994; 136    ; 45     ; -7     ; 4803   
 8.006; 136    ; 45     ; -7     ; 4638   
 8.013; 136    ; 45     ; -7     ; 4483   
 8.023; 136    ; 45     ; -6     ; 4284   
 8.035; 136    ; 43     ; -6     ; 4237   
 8.044; 136    ; 42     ; -6     ; 4263   
 8.055; 136    ; 41     ; -6     ; 4206   
 8.064; 136    ; 42     ; -6     ; 4269   
 8.074; 133    ; 42     ; -6     ; 4414   
 8.084; 133    ; 43     ; -6     ; 4499   
 8.094; 133    ; 45     ; -7     ; 4607   
 8.104; 133    ; 47     ; -7     ; 4616   
 8.114; 133    ; 47     ; -7     ; 4797   
 8.124; 133    ; 48     ; -7     ; 4874   
 8.134; 133    ; 49     ; -7     ; 4905   
 8.144; 133    ; 50     ; -7     ; 4923   
 8.154; 133    ; 49     ; -7     ; 4982   
 8.164; 133    ; 50     ; -7     ; 4990   
 8.174; 131    ; 51     ; -7     ; 5015   
 8.191; 131    ; 51     ; -7     ; 5025   
 8.199; 131    ; 51     ; -7     ; 5060   
 8.209; 131    ; 51     ; -7     ; 5151   
 8.221; 131    ; 52     ; -7     ; 5168   
 8.230; 131    ; 52     ; -8     ; 5205   
 8.240; 131    ; 52     ; -8     ; 5199   
 8.249; 131    ; 52     ; -8     ; 5212   
 8.260; 131    ; 51     ; -8     ; 5137   
 8.271; 133    ; 51     ; -7     ; 5080   
 8.282; 133    ; 51     ; -7     ; 5000   
 8.292; 133    ; 51     ; -7     ; 4963   
 8.303; 133    ; 51     ; -7     ; 4916   
 8.312; 133    ; 50     ; -7     ; 4869   
 8.324; 133    ; 49     ; -7     ; 4734   
 8.332; 133    ; 47     ; -7     ; 4618   
 8.343; 133    ; 46     ; -7     ; 4533   
 8.353; 133    ; 44     ; -6     ; 4350   
 8.361; 133    ; 42     ; -6     ; 4119   
 8.371; 133    ; 40     ; -6     ; 3972   
 8.381; 133    ; 38     ; -6     ; 3916   
 8.391; 133    ; 37     ; -6     ; 3787   
 8.402; 133    ; 38     ; -5     ; 3690   
 8.412; 133    ; 38     ; -5     ; 3561   
 8.422; 133    ; 37     ; -5     ; 3442   
 8.433; 133    ; 35     ; -5     ; 3390   
 8.443; 133    ; 34     ; -5     ; 3395   
 8.452; 133    ; 32     ; -5     ; 3338   
 8.462; 133    ; 31     ; -5     ; 3159   
 8.472; 135    ; 32     ; -4     ; 2886   
 8.482; 135    ; 31     ; -4     ; 2596   
 8.491; 135    ; 29     ; -4     ; 2521   
 8.504; 135    ; 27     ; -4     ; 2327   
 8.513; 135    ; 24     ; -3     ; 2094   
 8.524; 135    ; 21     ; -3     ; 1914   
 8.533; 135    ; 18     ; -3     ; 1657   
 8.546; 135    ; 14     ; -2     ; 1361   
 8.555; 135    ; 12     ; -2     ; 1176   
 8.565; 135    ; 9      ; -2     ; 1005   
 8.574; 133    ; 6      ; -1     ; 859    
 8.584; 133    ; 6      ; -1     ; 692    
 8.596; 133    ; 6      ; -1     ; 547    
