1.85,-2,-7.3571,-0.43333
1.86,0,-7.1429,-0.36667
1.87,1,-6.7143,-0.3
1.88,2,-6.1429,-0.23333
1.89,3,-5.3571,-0.175
1.9,4,-4.5,-0.13333
1.91,4,-3.7143,-0.10833
1.92,4,-2.9286,-0.1
1.93,3,-2.2143,-0.10833
1.94,2,-1.5,-0.13333
1.95,1,-0.92857,-0.175
1.96,0,-0.42857,-0.23333
1.97,-1,-0.071429,-0.30833
1.98,-3,0.14286,-0.39167
1.99,-4,0.14286,-0.48333
2,-5,0,-0.58333
2.01,-7,-0.42857,-0.69167
2.02,-7,-1,-0.80833
2.03,-8,-1.7143,-0.93333
2.04,-10,-2.6429,-1.0583
2.05,-11,-3.6429,-1.1667
2.06,-12,-4.7143,-1.2583
2.07,-14,-5.8571,-1.3333
2.08,-15,-7.0714,-1.3917
2.09,-16,-8.2143,-1.425
2.1,-16,-9.2857,-1.4333
2.11,-15,-10.214,-1.4167
2.12,-15,-11.071,-1.375
2.13,-14,-11.786,-1.3167
2.14,-13,-12.286,-1.2417
2.15,-11,-12.5,-1.15
2.16,-9,-12.571,-1.0417
2.17,-7,-12.429,-0.925
2.18,-5,-12.071,-0.8
2.19,-4,-11.429,-0.675
2.2,-3,-10.643,-0.55833
2.21,-2,-9.7143,-0.45
2.22,-1,-8.6429,-0.35
2.23,1,-7.6429,-0.25833
2.24,1,-6.6429,-0.18333
2.25,2,-5.6429,-0.125
2.26,2,-4.5714,-0.083333
2.27,2,-3.4286,-0.05
2.28,3,-2.4286,-0.033333
2.29,3,-1.5714,-0.033333
2.3,3,-0.85714,-0.05
2.31,2,-0.35714,-0.083333
2.32,2,0,-0.125
2.33,1,0.14286,-0.175
2.34,0,0.14286,-0.23333
2.35,-2,0,-0.3
2.36,-3,-0.28571,-0.36667
2.37,-4,-0.64286,-0.43333
2.38,-6,-1.1429,-0.5
2.39,-7,-1.7857,-0.56667
2.4,-8,-2.5714,-0.63333
2.41,-8,-3.4286,-0.69167
2.42,-9,-4.2143,-0.74167
2.43,-9,-4.8571,-0.775
2.44,-9,-5.4286,-0.79167
2.45,-9,-5.8571,-0.79167
2.46,-8,-6.2143,-0.775
2.47,-8,-6.5,-0.74167
2.48,-7,-6.6429,-0.69167
2.49,-5,-6.7143,-0.63333
2.5,-4,-6.6429,-0.56667
2.51,-4,-6.4286,-0.5
2.52,-3,-6.1429,-0.43333
2.53,-2,-5.7143,-0.36667
2.54,-2,-5.1429,-0.3
2.55,-2,-4.5714,-0.23333
2.56,-1,-4.0714,-0.175
2.57,-1,-3.6429,-0.125
2.58,0,-3.1429,-0.083333
2.59,0,-2.7143,-0.05
2.6,0,-2.2143,-0.025
2.61,1,-1.6429,-0.0083333
2.62,1,-1.1429,0
2.63,1,-0.84615,0
2.64,1,-0.58333,0
2.65,1,-0.36364,0
2.66,1,-0.1,0
2.67,2,0.11111,0
2.68,2,0.25,0
