0,0,0,0
0.01,0,0,0
0.02,0,0,0
0.03,0,0,0
0.04,0,0,0
0.05,0,0,0
0.06,0,0,0
0.07,1,0,0
0.08,1,0,0
0.09,1,0,0
0.1,1,0,0
0.11,1,0,0
0.12,1,0,0
0.13,1,0,0
0.14,1,0,0
0.15,1,0,0
0.16,1,0,0
0.17,1,0,0
0.18,1,0,0
0.19,1,0,0
0.2,1,0,0
0.21,1,0,0
0.22,1,0,0
0.23,1,0,0
0.24,1,0,0
0.25,1,0,0
0.26,1,0,0
0.27,1,0,0
0.28,1,0,0
0.29,1,0,0
0.3,1,0,0
0.31,1,0,0
0.32,2,0,0
0.33,2,0,0
0.34,1,0,0
0.35,1,0,0
0.36,1,0,0
0.37,1,0,0
0.38,2,0,0
0.39,2,0,0
0.4,2,0,0
0.41,2,0,0.0083333
0.42,2,0,0.025
0.43,2,0,0.05
0.44,3,0,0.083333
0.45,3,0,0.125
0.46,3,0,0.175
0.47,3,0,0.23333
0.48,3,0,0.3
0.49,4,0,0.36667
0.5,4,0,0.43333
0.51,5,0,0.5
0.52,5,0.071429,0.56667
0.53,5,0.28571,0.63333
0.54,5,0.5,0.7
0.55,6,0.85714,0.76667
0.56,6,1.2857,0.825
0.57,7,1.7857,0.86667
0.58,7,2.2857,0.89167
0.59,8,2.8571,0.9
0.6,8,3.4286,0.89167
0.61,8,4,0.86667
0.62,9,4.5714,0.81667
0.63,8,5.1429,0.74167
0.64,7,5.7143,0.65
0.65,6,6.2143,0.55
0.66,5,6.6429,0.44167
0.67,3,6.7857,0.325
0.68,1,6.7857,0.19167
0.69,-1,6.5,0.041667
0.7,-3,6,-0.11667
0.71,-5,5.2857,-0.275
0.72,-6,4.4286,-0.425
0.73,-7,3.3571,-0.56667
0.74,-9,2.1429,-0.7
0.75,-10,0.78571,-0.825
0.76,-12,-0.71429,-0.93333
0.77,-13,-2.2143,-1.0083
0.78,-14,-3.7143,-1.05
0.79,-15,-5.1429,-1.0667
0.8,-14,-6.5714,-1.0667
0.81,-13,-7.8571,-1.05
0.82,-12,-8.9286,-1.0167
0.83,-10,-9.7143,-0.95
0.84,-9,-10.286,-0.85
0.85,-7,-10.643,-0.73333
0.86,-5,-10.714,-0.60833
0.87,-3,-10.5,-0.475
0.88,-1,-10.071,-0.33333
0.89,0,-9.3571,-0.18333
0.9,2,-8.4286,-0.025
0.91,3,-7.3571,0.11667
0.92,4,-6.2143,0.23333
