t,y
1.5066,0.015222
1.5115,0.015093
1.5163,0.014928
1.5212,0.014729
1.5261,0.014501
1.531,0.014244
1.5358,0.013964
1.5407,0.013664
1.5456,0.013347
1.5505,0.013018
1.5553,0.01268
1.5602,0.012339
1.5651,0.011997
1.57,0.011661
1.5748,0.011332
1.5797,0.011017
1.5846,0.010717
1.5895,0.010438
1.5943,0.010182
1.5992,0.0099513
1.6041,0.0097499
1.609,0.0095796
1.6138,0.0094421
1.6187,0.009339
1.6236,0.0092713
1.6285,0.0092396
1.6333,0.009244
1.6382,0.0092843
1.6431,0.0093597
1.648,0.0094691
1.6529,0.009611
1.6577,0.0097835
1.6626,0.0099842
1.6675,0.010211
1.6724,0.01046
1.6772,0.010729
1.6821,0.011014
1.687,0.011312
1.6919,0.01162
1.6967,0.011933
1.7016,0.012247
1.7065,0.01256
1.7114,0.012867
1.7162,0.013164
1.7211,0.013449
1.726,0.013718
1.7309,0.013969
1.7357,0.014197
1.7406,0.014401
1.7455,0.014579
1.7504,0.014728
1.7552,0.014848
1.7601,0.014936
1.765,0.014994
1.7699,0.015019
1.7747,0.015012
1.7796,0.014974
1.7845,0.014906
1.7894,0.014808
1.7942,0.014682
1.7991,0.014529
1.804,0.014353
1.8089,0.014156
1.8137,0.013939
1.8186,0.013707
1.8235,0.013461
1.8284,0.013206
1.8333,0.012944
1.8381,0.012679
1.843,0.012413
1.8479,0.012152
1.8528,0.011896
1.8576,0.011651
1.8625,0.011417
1.8674,0.0112
1.8723,0.011
1.8771,0.010821
1.882,0.010664
1.8869,0.010531
1.8918,0.010424
1.8966,0.010343
1.9015,0.010291
1.9064,0.010266
1.9113,0.01027
1.9161,0.010302
1.921,0.010361
1.9259,0.010447
1.9308,0.010558
1.9356,0.010693
1.9405,0.010851
1.9454,0.011028
1.9503,0.011224
1.9551,0.011435
1.96,0.011659
1.9649,0.011893
1.9698,0.012135
1.9746,0.012381
1.9795,0.012629
1.9844,0.012875
1.9893,0.013117
1.9941,0.013351
1.999,0.013576
2.0039,0.013789
2.0088,0.013987
2.0137,0.014168
2.0185,0.01433
2.0234,0.014472
2.0283,0.014591
2.0332,0.014688
2.038,0.01476
2.0429,0.014808
2.0478,0.01483
2.0527,0.014828
2.0575,0.014801
2.0624,0.01475
2.0673,0.014677
2.0722,0.014581
2.077,0.014464
2.0819,0.014329
2.0868,0.014177
2.0917,0.014011
2.0965,0.013831
2.1014,0.013641
2.1063,0.013444
2.1112,0.013241
2.116,0.013035
2.1209,0.012829
2.1258,0.012626
2.1307,0.012428
2.1355,0.012237
2.1404,0.012056
2.1453,0.011887
2.1502,0.011732
2.155,0.011592
2.1599,0.011471
2.1648,0.011367
2.1697,0.011284
2.1745,0.011222
2.1794,0.011181
2.1843,0.011163
2.1892,0.011166
2.1941,0.011192
2.1989,0.011239
2.2038,0.011306
2.2087,0.011394
2.2136,0.011501
2.2184,0.011625
2.2233,0.011764
2.2282,0.011918
2.2331,0.012084
2.2379,0.012261
2.2428,0.012445
2.2477,0.012636
2.2526,0.012829
2.2574,0.013025
2.2623,0.013219
2.2672,0.01341
2.2721,0.013595
2.2769,0.013773
2.2818,0.013942
2.2867,0.014099
2.2916,0.014243
2.2964,0.014372
2.3013,0.014485
2.3062,0.014581
2.3111,0.014659
2.3159,0.014719
2.3208,0.014758
2.3257,0.014779
2.3306,0.01478
2.3354,0.014761
2.3403,0.014724
2.3452,0.014669
2.3501,0.014597
2.3549,0.014508
2.3598,0.014405
2.3647,0.014289
2.3696,0.014161
2.3745,0.014023
2.3793,0.013876
2.3842,0.013724
2.3891,0.013567
2.394,0.013408
2.3988,0.013249
2.4037,0.013092
2.4086,0.012938
2.4135,0.012791
2.4183,0.01265
2.4232,0.012519
2.4281,0.012399
2.433,0.012291
2.4378,0.012197
2.4427,0.012117
2.4476,0.012053
2.4525,0.012006
2.4573,0.011975
2.4622,0.011961
2.4671,0.011965
2.472,0.011985
2.4768,0.012023
2.4817,0.012077
2.4866,0.012146
2.4915,0.012231
2.4963,0.012329
2.5012,0.012439
2.5061,0.012561
2.511,0.012692
2.5158,0.012831
2.5207,0.012977
2.5256,0.013127
2.5305,0.01328
2.5353,0.013434
2.5402,0.013588
2.5451,0.013739
2.55,0.013886
2.5549,0.014028
2.5597,0.014161
2.5646,0.014286
2.5695,0.014401
2.5744,0.014505
2.5792,0.014596
2.5841,0.014673
2.589,0.014736
2.5939,0.014785
2.5987,0.014819
2.6036,0.014837
2.6085,0.014841
2.6134,0.014829
2.6182,0.014802
2.6231,0.014762
2.628,0.014708
2.6329,0.014641
2.6377,0.014563
2.6426,0.014474
2.6475,0.014376
2.6524,0.01427
2.6572,0.014158
2.6621,0.01404
2.667,0.01392
2.6719,0.013797
2.6767,0.013675
2.6816,0.013554
2.6865,0.013435
2.6914,0.013321
2.6962,0.013213
2.7011,0.013112
2.706,0.01302
2.7109,0.012936
2.7157,0.012864
2.7206,0.012803
2.7255,0.012754
2.7304,0.012718
2.7353,0.012695
2.7401,0.012685
2.745,0.012689
2.7499,0.012706
2.7548,0.012737
2.7596,0.01278
2.7645,0.012836
2.7694,0.012903
2.7743,0.012981
2.7791,0.013068
2.784,0.013165
2.7889,0.013269
2.7938,0.013379
2.7986,0.013495
2.8035,0.013614
2.8084,0.013735
2.8133,0.013858
2.8181,0.01398
2.823,0.0141
2.8279,0.014217
2.8328,0.014329
2.8376,0.014436
2.8425,0.014536
2.8474,0.014628
2.8523,0.014711
2.8571,0.014784
2.862,0.014847
2.8669,0.014899
2.8718,0.01494
2.8766,0.014968
2.8815,0.014985
2.8864,0.01499
2.8913,0.014983
2.8961,0.014965
2.901,0.014936
2.9059,0.014896
2.9108,0.014846
2.9157,0.014787
2.9205,0.01472
2.9254,0.014645
2.9303,0.014565
2.9352,0.014479
2.94,0.014389
2.9449,0.014297
2.9498,0.014203
2.9547,0.014109
2.9595,0.014016
2.9644,0.013925
2.9693,0.013838
2.9742,0.013755
2.979,0.013677
2.9839,0.013607
2.9888,0.013543
2.9937,0.013488
2.9985,0.013441
3.0034,0.013405
3.0083,0.013378
3.0132,0.013361
3.018,0.013355
3.0229,0.013359
3.0278,0.013374
3.0327,0.013399
3.0375,0.013434
3.0424,0.013479
3.0473,0.013533
3.0522,0.013595
3.057,0.013665
3.0619,0.013742
3.0668,0.013825
3.0717,0.013913
3.0765,0.014005
3.0814,0.0141
3.0863,0.014196
3.0912,0.014294
3.0961,0.014391
3.1009,0.014487
3.1058,0.01458
3.1107,0.01467
3.1156,0.014756
3.1204,0.014836
3.1253,0.01491
3.1302,0.014977
3.1351,0.015037
3.1399,0.015089
3.1448,0.015132
3.1497,0.015166
3.1546,0.01519
3.1594,0.015206
3.1643,0.015212
3.1692,0.015209
3.1741,0.015197
3.1789,0.015176
3.1838,0.015147
3.1887,0.015111
3.1936,0.015067
3.1984,0.015017
3.2033,0.014961
3.2082,0.0149
3.2131,0.014835
3.2179,0.014767
3.2228,0.014696
3.2277,0.014625
3.2326,0.014553
3.2374,0.014483
3.2423,0.014413
3.2472,0.014347
3.2521,0.014283
3.2569,0.014225
3.2618,0.014171
3.2667,0.014123
3.2716,0.014081
3.2765,0.014046
3.2813,0.014019
3.2862,0.014
3.2911,0.013988
3.296,0.013985
3.3008,0.01399
3.3057,0.014003
3.3106,0.014024
3.3155,0.014053
3.3203,0.014089
3.3252,0.014133
3.3301,0.014183
3.335,0.01424
3.3398,0.014302
3.3447,0.014368
3.3496,0.014438
3.3545,0.014512
3.3593,0.014588
3.3642,0.014665
3.3691,0.014744
3.374,0.014822
3.3788,0.014899
3.3837,0.014974
3.3886,0.015046
3.3935,0.015115
3.3983,0.01518
3.4032,0.01524
3.4081,0.015295
3.413,0.015343
3.4178,0.015386
3.4227,0.015422
3.4276,0.015451
3.4325,0.015472
3.4373,0.015487
3.4422,0.015494
3.4471,0.015494
3.452,0.015487
3.4569,0.015473
3.4617,0.015453
3.4666,0.015426
3.4715,0.015394
3.4764,0.015357
3.4812,0.015315
3.4861,0.01527
3.491,0.015221
3.4959,0.01517
3.5007,0.015117
3.5056,0.015063
3.5105,0.015009
3.5154,0.014956
3.5202,0.014903
3.5251,0.014853
3.53,0.014805
3.5349,0.014761
3.5397,0.014721
3.5446,0.014685
3.5495,0.014654
3.5544,0.014629
3.5592,0.014609
3.5641,0.014595
3.569,0.014588
3.5739,0.014587
3.5787,0.014593
3.5836,0.014604
3.5885,0.014623
3.5934,0.014647
3.5982,0.014677
3.6031,0.014713
3.608,0.014754
3.6129,0.0148
3.6177,0.01485
3.6226,0.014904
3.6275,0.014961
3.6324,0.01502
3.6373,0.015081
3.6421,0.015144
3.647,0.015207
3.6519,0.01527
3.6568,0.015332
3.6616,0.015393
3.6665,0.015451
3.6714,0.015507
3.6763,0.01556
3.6811,0.015609
3.686,0.015654
3.6909,0.015695
3.6958,0.01573
3.7006,0.01576
3.7055,0.015785
3.7104,0.015805
3.7153,0.015818
3.7201,0.015826
3.725,0.015828
3.7299,0.015825
3.7348,0.015816
3.7396,0.015803
3.7445,0.015784
3.7494,0.015761
3.7543,0.015734
3.7591,0.015704
3.764,0.015671
3.7689,0.015635
3.7738,0.015597
3.7786,0.015558
3.7835,0.015517
