0,0,0
0.01,0.0042248,0.77732
0.02,0.034306,2.7705
0.03,0.10759,5.2569
0.04,0.23039,7.6248
0.05,0.3996,9.3962
0.06,0.60449,10.239
0.07,0.8288,9.9669
0.08,1.0533,8.536
0.09,1.2585,6.0271
0.1,1.4266,2.6254
0.11,1.543,-1.4065
0.12,1.597,-5.7584
0.13,1.5821,-10.102
0.14,1.4959,-14.121
0.15,1.3408,-17.529
0.16,1.1244,-20.096
0.17,0.85943,-21.658
0.18,0.56278,-22.126
0.19,0.25408,-21.493
0.2,-0.046853,-19.829
0.21,-0.32227,-17.276
0.22,-0.55805,-14.034
0.23,-0.74434,-10.343
0.24,-0.87551,-6.4616
0.25,-0.94979,-2.6481
0.26,-0.96882,0.86126
0.27,-0.93733,3.8672
0.28,-0.86281,6.2194
0.29,-0.75506,7.8239
0.3,-0.62555,8.6454
0.31,-0.48649,8.7059
0.32,-0.34987,8.0791
0.33,-0.22649,6.8819
0.34,-0.12517,5.2629
0.35,-0.0523,3.3899
0.36,-0.011618,1.4363
0.37,-0.0042128,-0.43201
0.38,-0.028665,-2.0677
0.39,-0.081311,-3.3516
0.4,-0.15663,-4.199
0.41,-0.24774,-4.5634
0.42,-0.34698,-4.437
0.43,-0.44655,-3.8488
0.44,-0.5391,-2.8597
0.45,-0.61827,-1.556
0.46,-0.67901,-0.04134
0.47,-0.7179,1.5717
0.48,-0.7332,3.1706
0.49,-0.72488,4.651
0.5,-0.69452,5.9233
0.51,-0.64511,6.9181
0.52,-0.58078,7.5899
0.53,-0.50642,7.9185
0.54,-0.42733,7.9087
0.55,-0.34872,7.5884
0.56,-0.27539,7.0053
0.57,-0.21135,6.2216
0.58,-0.15962,5.3091
0.59,-0.12209,4.3434
0.6,-0.099463,3.3976
0.61,-0.091307,2.538
0.62,-0.096181,1.8193
0.63,-0.11181,1.2816
0.64,-0.13529,0.9489
0.65,-0.16337,0.82786
0.66,-0.19269,0.90918
0.67,-0.22001,1.1691
0.68,-0.24249,1.5724
0.69,-0.25781,2.0752
0.7,-0.26434,2.6297
0.71,-0.26119,3.1867
0.72,-0.24823,3.7004
0.73,-0.22607,4.1307
0.74,-0.19593,4.4458
0.75,-0.15954,4.6244
0.76,-0.11899,4.6558
0.77,-0.076547,4.5407
0.78,-0.034459,4.2897
0.79,0.0051746,3.9224
0.8,0.040559,3.4651
0.81,0.070307,2.9487
0.82,0.09351,2.4059
0.83,0.10976,1.869
0.84,0.11915,1.3676
0.85,0.12223,0.92648
0.86,0.11992,0.56446
0.87,0.11343,0.29331
0.88,0.10416,0.11746
0.89,0.09358,0.034282
0.9,0.083102,0.034714
0.91,0.074009,0.10444
0.92,0.067359,0.22527
0.93,0.063926,0.37677
0.94,0.064165,0.53784
0.95,0.068203,0.68837
0.96,0.075852,0.81054
0.97,0.086644,0.89002
0.98,0.099887,0.91672
0.99,0.11473,0.88523
1,0.13023,0.79492
1.01,0.14543,0.64963
1.02,0.15944,0.45709
1.03,0.17148,0.22811
1.04,0.18094,-0.024381
1.05,0.1874,-0.28646
1.06,0.19067,-0.54422
1.07,0.19075,-0.78478
1.08,0.18786,-0.99712
1.09,0.18238,-1.1728
1.1,0.17484,-1.3062
1.11,0.16584,-1.3949
1.12,0.15603,-1.4397
1.13,0.14603,-1.444
1.14,0.13642,-1.4137
1.15,0.12771,-1.3565
1.16,0.12026,-1.281
1.17,0.11431,-1.1966
1.18,0.10997,-1.1121
1.19,0.10718,-1.0355
1.2,0.10578,-0.9734
1.21,0.10552,-0.93068
1.22,0.10604,-0.91019
1.23,0.10697,-0.91276
