t	v	delta	phi	u
290	55	9	1	17
291	55	12	1	13
292	55	15	1	11
293	55	16	1	7
294	55	15	1	7
295	55	14	1	5
296	55	13	1	9
297	55	12	1	10
298	55	12	1	16
299	55	12	1	20
300	55	13	1	24
301	55	15	2	32
302	55	17	2	32
303	55	19	2	38
304	55	22	2	38
305	55	24	2	39
306	55	27	3	37
307	55	30	3	35
308	55	33	2	33
309	55	34	2	30
310	55	34	2	25
311	55	34	2	20
312	55	34	2	16
313	55	32	1	15
314	55	31	1	11
315	55	28	1	13
316	55	26	1	14
317	55	24	1	15
318	55	23	1	19
319	55	21	1	24
320	55	21	2	27
321	56	22	2	32
322	56	23	2	31
323	56	24	2	33
324	56	26	2	32
325	56	28	2	31
326	56	29	2	27
327	56	30	2	20
328	56	29	2	19
329	56	28	1	10
330	56	27	1	3
331	56	25	1	2
332	56	23	1	2
333	56	21	0	4
334	56	18	0	4
335	56	15	0	3
336	56	13	0	3
337	56	10	0	5
338	56	9	0	4
339	56	7	0	5
340	56	6	0	2
341	55	5	0	3
342	55	4	0	0
343	55	4	0	-1
344	55	3	0	-3
345	55	2	0	-6
346	55	1	0	-11
347	55	0	-1	-14
348	55	-2	-1	-17
349	55	-4	-1	-16
350	55	-6	-1	-21
351	56	-8	-1	-19
352	56	-11	-1	-20
353	56	-13	-1	-19
354	56	-15	-1	-20
355	56	-17	-1	-20
356	56	-19	-1	-18
357	56	-20	-1	-23
358	56	-20	-2	-26
359	56	-21	-2	-24
360	56	-22	-2	-27
361	54	-24	-2	-33
362	54	-26	-2	-36
363	54	-27	-2	-34
364	54	-30	-2	-37
365	54	-32	-2	-37
366	54	-34	-3	-37
367	54	-35	-3	-35
368	54	-36	-2	-32
369	54	-36	-2	-32
370	54	-35	-2	-32
371	57	-35	-2	-27
372	57	-35	-2	-31
373	57	-35	-2	-25
374	57	-35	-2	-27
375	57	-35	-2	-25
376	57	-35	-2	-24
377	57	-35	-2	-18
378	57	-35	-1	-15
379	57	-35	-1	-7
380	57	-33	-1	0
381	55	-30	0	4
382	55	-27	0	8
383	55	-23	0	10
384	55	-19	0	11
385	55	-15	1	10
386	55	-11	0	3
387	55	-7	0	2
388	55	-4	0	-3
389	55	-2	0	-3
390	55	-2	0	-8
391	56	-3	0	-5
392	56	-3	0	-6
393	56	-4	0	0
394	56	-4	0	9
395	56	-3	0	9
396	56	-1	1	18
397	56	1	1	24
398	56	3	1	32
399	56	6	2	35
400	56	8	2	34
401	55	12	2	32
402	55	16	2	30
403	55	19	2	30
404	55	23	2	30
405	55	26	2	29
406	55	28	2	27
407	55	30	2	31
408	55	30	2	29
409	55	30	2	30
410	55	31	2	36
411	55	32	2	34
412	55	33	2	41
413	55	34	3	41
414	55	36	3	44
415	55	37	3	46
416	55	39	3	51
417	55	41	3	49
418	55	44	3	45
419	55	46	3	43
420	55	46	3	44
421	57	46	3	36
422	57	45	3	36
423	57	44	3	29
424	57	42	2	25
425	57	40	2	22
426	57	38	2	18
427	57	36	2	13
428	57	34	1	10
429	57	32	1	13
430	57	29	1	14
431	55	26	1	18
432	55	24	1	18
433	55	24	1	10
434	55	24	1	24
435	55	25	2	38
436	55	26	2	49
437	55	29	3	58
438	55	33	3	63
439	55	38	4	64
440	55	42	4	68
441	55	46	5	77
442	55	50	5	88
443	55	54	6	105
444	55	58	6	93
445	55	60	6	87
446	55	60	6	81
447	55	60	6	61
448	55	60	5	62
449	55	60	5	81
450	55	61	5	76
451	45	62	5	74
452	45	64	5	73
453	45	66	5	68
454	45	67	5	57
455	45	68	4	43
456	45	67	4	39
457	45	64	3	36
458	45	60	3	26
459	45	55	2	2
460	45	49	1	-18
461	44	42	0	-47
462	44	34	-2	-68
463	44	27	-3	-77
464	44	22	-4	-107
465	44	17	-6	-120
466	44	12	-7	-148
467	44	7	-9	-167
468	44	2	-10	-184
469	44	-4	-12	-221
470	44	-11	-13	-217
471	50	-19	-15	-275
472	50	-29	-17	-304
473	50	-39	-19	-350
474	50	-47	-22	-393
475	50	-56	-25	-425
476	50	-67	-27	-457
477	50	-77	-29	-483
478	50	-86	-32	-513
479	50	-92	-33	-526
480	50	-98	-35	-553
481	53	-104	-36	-534
482	53	-112	-37	-537
483	53	-121	-37	-532
484	53	-130	-38	-548
485	53	-140	-38	-544
486	53	-151	-38	-545
487	53	-161	-39	-559
488	53	-172	-38	-538
489	53	-183	-38	-544
490	53	-194	-38	-538
491	59	-205	-38	-549
492	59	-216	-39	-559
493	59	-226	-39	-580
494	59	-235	-41	-609
495	59	-244	-42	-624
496	59	-255	-43	-627
497	59	-264	-43	-626
498	59	-275	-44	-623
499	59	-284	-44	-629
500	59	-293	-44	-632
501	60	-305	-44	-635
502	60	-317	-45	-652
503	60	-323	-45	-659
504	60	-337	-46	-673
505	60	-348	-46	-667
506	60	-359	-47	-670
507	60	-370	-47	-681
508	60	-381	-48	-682
509	60	-392	-48	-686
510	59	-402	-48	-708
511	59	-410	-49	-715
512	59	-418	-50	-731
513	59	-426	-51	-742
514	59	-434	-52	-754
515	59	-444	-52	-752
516	59	-453	-53	-759
517	59	-462	-53	-767
518	59	-475	-53	-767
519	59	-486	-54	-775
520	61	-497	-54	-787
521	61	-509	-55	-796
522	61	-520	-56	-807
523	61	-534	-57	-830
524	61	-546	-58	-851
525	61	-558	-59	-867
526	61	-567	-60	-895
527	61	-581	-62	-925
528	61	-590	-64	-955
529	61	-596	-66	-999
530	62	-600	-68	-1030
531	62	-604	-70	-1048
532	62	-609	-71	-1052
533	62	-617	-72	-1042
534	62	-626	-73	-1041
535	62	-636	-73	-1026
536	62	-645	-73	-1019
537	62	-655	-72	-1012
538	62	-663	-72	-996
539	62	-673	-71	-980
540	60	-685	-70	-962
