Row, Timestamp, Series 1, Series 2
0   , 0.842, 100    , 0      
1   , 0.853, 100    , 2      
2   , 0.863, 100    , 7      
3   , 0.874, 100    , 13     
4   , 0.884, 100    , 19     
5   , 0.895, 100    , 28     
6   , 0.905, 100    , 36     
7   , 0.915, 100    , 44     
8   , 0.925, 100    , 53     
9   , 0.935, 100    , 62     
10  , 0.945, 100    , 72     
11  , 0.955, 100    , 82     
12  , 0.965, 100    , 91     
13  , 0.975, 100    , 100    
14  , 0.989, 100    , 107    
15  , 1.002, 100    , 108    
16  , 1.012, 100    , 106    
17  , 1.022, 100    , 103    
18  , 1.033, 100    , 100    
19  , 1.044, 100    , 98     
20  , 1.055, 100    , 99     
21  , 1.065, 100    , 100    
22  , 1.075, 100    , 101    
23  , 1.085, 100    , 100    
24  , 1.095, 100    , 100    
25  , 1.105, 100    , 100    
26  , 1.115, 100    , 100    
27  , 1.125, 100    , 100    
28  , 1.135, 100    , 100    
29  , 1.145, 100    , 100    
30  , 1.157, 100    , 100    
31  , 1.167, 100    , 100    
32  , 1.177, 100    , 100    
33  , 1.187, 100    , 100    
34  , 1.197, 100    , 100    
35  , 1.207, 100    , 100    
36  , 1.217, 100    , 100    
37  , 1.227, 100    , 100    
38  , 1.237, 100    , 100    
39  , 1.247, 100    , 100    
40  , 1.258, 100    , 100    
41  , 1.268, 100    , 100    
42  , 1.279, 100    , 100    
43  , 1.289, 100    , 100    
44  , 1.299, 100    , 100    
45  , 1.309, 100    , 100    
46  , 1.319, 100    , 100    
47  , 1.329, 100    , 100    
48  , 1.339, 100    , 100    
49  , 1.349, 100    , 100    
50  , 1.359, 100    , 100    
51  , 1.369, 100    , 100    
52  , 1.379, 100    , 100    
53  , 1.389, 100    , 100    
54  , 1.399, 100    , 100    
55  , 1.409, 100    , 100    
56  , 1.420, 100    , 100    
57  , 1.430, 100    , 100    
58  , 1.440, 100    , 100    
59  , 1.450, 100    , 100    
60  , 1.460, 100    , 100    
61  , 1.471, 100    , 100    
62  , 1.481, 100    , 100    
63  , 1.491, 100    , 100    
64  , 1.501, 100    , 100    
65  , 1.511, 100    , 100    
66  , 1.522, 100    , 100    
67  , 1.532, 100    , 100    
68  , 1.544, 100    , 100    
69  , 1.555, 100    , 100    
70  , 1.565, 100    , 100    
71  , 1.575, 100    , 100    
72  , 1.585, 100    , 100    
73  , 1.595, 100    , 100    
74  , 1.605, 100    , 100    
75  , 1.615, 100    , 100    
76  , 1.625, 100    , 100    
77  , 1.635, 100    , 100    
78  , 1.645, 100    , 100    
79  , 1.655, 100    , 100    
80  , 1.665, 100    , 100    
81  , 1.675, 100    , 100    
82  , 1.685, 100    , 100    
83  , 1.695, 100    , 100    
84  , 1.705, 100    , 100    
85  , 1.715, 100    , 100    
86  , 1.726, 100    , 100    
87  , 1.736, 100    , 100    
88  , 1.747, 100    , 100    
89  , 1.757, 100    , 100    
90  , 1.767, 100    , 100    
91  , 1.777, 100    , 100    
92  , 1.787, 100    , 100    
93  , 1.797, 100    , 100    
94  , 1.807, 100    , 100    
95  , 1.817, 100    , 100    
96  , 1.827, 100    , 100    
97  , 1.837, 100    , 100    
98  , 1.847, 100    , 100    
99  , 1.857, 100    , 100    
100 , 1.867, 100    , 100    
101 , 1.877, 100    , 100    
102 , 1.891, 100    , 100    
103 , 1.902, 100    , 100    
104 , 1.912, 100    , 100    
105 , 1.923, 100    , 100    
106 , 1.933, 100    , 100    
107 , 1.943, 100    , 100    
108 , 1.953, 100    , 100    
109 , 1.963, 100    , 100    
110 , 1.973, 100    , 100    
111 , 1.983, 100    , 100    
112 , 1.993, 100    , 100    
113 , 2.003, 100    , 100    
114 , 2.013, 100    , 100    
115 , 2.023, 100    , 100    
116 , 2.036, 100    , 100    
117 , 2.047, 100    , 100    
118 , 2.057, 100    , 100    
119 , 2.068, 100    , 100    
120 , 2.078, 100    , 100    
121 , 2.089, 100    , 100    
122 , 2.099, 100    , 100    
123 , 2.109, 100    , 100    
124 , 2.119, 100    , 100    
125 , 2.129, 100    , 100    
126 , 2.140, 100    , 100    
127 , 2.150, 100    , 100    
128 , 2.160, 100    , 100    
129 , 2.171, 100    , 100    
130 , 2.181, 100    , 100    
131 , 2.192, 100    , 100    
132 , 2.202, 100    , 100    
133 , 2.213, 100    , 100    
134 , 2.223, 100    , 100    
135 , 2.233, 100    , 100    
136 , 2.243, 100    , 100    
137 , 2.253, 100    , 100    
138 , 2.263, 100    , 100    
139 , 2.273, 100    , 100    
140 , 2.283, 100    , 100    
141 , 2.295, 100    , 100    
142 , 2.305, 100    , 100    
143 , 2.315, 100    , 100    
144 , 2.325, 100    , 100    
145 , 2.339, 100    , 100    
146 , 2.349, 100    , 100    
147 , 2.359, 100    , 100    
148 , 2.369, 100    , 100    
149 , 2.379, 100    , 100    
150 , 2.389, 100    , 100    
151 , 2.399, 100    , 100    
152 , 2.409, 100    , 100    
153 , 2.419, 100    , 100    
154 , 2.429, 100    , 100    
155 , 2.439, 100    , 100    
156 , 2.449, 100    , 100    
157 , 2.459, 100    , 100    
158 , 2.469, 100    , 100    
159 , 2.479, 100    , 100    
160 , 2.489, 100    , 100    
161 , 2.499, 100    , 100    
162 , 2.509, 100    , 100    
163 , 2.519, 100    , 100    
164 , 2.530, 100    , 100    
165 , 2.540, 100    , 100    
166 , 2.552, 100    , 100    
167 , 2.563, 100    , 100    
168 , 2.573, 100    , 100    
169 , 2.583, 100    , 100    
170 , 2.593, 100    , 100    
171 , 2.603, 100    , 100    
172 , 2.614, 100    , 100    
173 , 2.624, 100    , 100    
174 , 2.635, 100    , 100    
175 , 2.645, 100    , 100    
176 , 2.655, 100    , 100    
177 , 2.665, 100    , 100    
178 , 2.675, 100    , 100    
179 , 2.686, 100    , 100    
